,Likes,Comments,Views,Dislikes,Date
139,599,237,40599,100,2019-07-08 06:08:35
140,3133,366,270868,203,2019-07-13 19:44:41
141,93,51,8952,39,2019-07-05 16:00:15
142,1253,185,84827,91,2019-07-05 13:00:07
143,156,44,19061,24,2019-07-05 14:00:04
144,97,12,8586,15,2019-07-05 15:00:05
145,2496,797,355833,456,2019-07-20 14:00:00
146,152,43,19256,23,2019-07-05 09:30:15
147,219,92,14109,32,2019-07-05 08:55:32
148,296,93,25198,42,2019-07-05 09:00:57
149,1573,580,214979,308,2019-07-05 07:42:39
150,36,2,3004,2,2019-07-04 15:11:34
151,223,78,20436,23,2019-07-05 06:30:00
152,152,35,7539,11,2019-07-05 05:00:00
153,1443,354,122163,163,2019-07-05 05:30:01
154,73,15,6587,12,2019-07-04 14:00:04
155,450,151,51521,121,2019-07-06 08:00:00
156,93,41,5665,26,2019-07-05 04:30:02
157,2539,582,115595,190,2019-07-04 15:00:05
158,126,20,7010,24,2019-07-04 16:00:02
159,74,13,4220,19,2019-07-04 09:16:27
160,1296,460,81941,102,2019-07-04 09:00:02
161,192,58,9310,25,2019-07-04 08:23:16
162,1179,420,116094,222,2019-07-04 07:52:39
163,633,210,31014,47,2019-07-04 12:00:10
164,2502,588,382412,320,2019-07-13 08:00:06
165,117,33,9208,6,2019-07-04 06:00:00
166,63,5,2965,9,2019-07-04 04:30:00
167,149,39,11165,23,2019-07-04 05:30:00
168,3055,707,357174,460,2019-07-19 15:00:06
169,45,15,2445,10,2019-07-04 03:30:02
170,130,8,10048,17,2019-07-03 15:00:10
171,207,18,6075,14,2019-07-03 13:00:00
172,33,1,2190,7,2019-07-04 05:00:02
173,29,2,2388,14,2019-07-03 16:00:00
174,302,91,50246,66,2019-07-03 14:00:07
175,4688,1430,594031,1124,2019-07-15 05:00:00
176,69,17,5287,34,2019-07-03 11:34:14
177,158,29,11695,14,2019-07-03 08:30:01
178,3478,599,189113,319,2019-07-03 08:00:01
179,388,80,34240,50,2019-07-03 07:16:04
180,1502,484,170252,788,2019-07-03 07:17:33
181,53,12,3003,5,2019-07-02 15:52:51
182,58,20,4802,8,2019-07-02 15:51:48
183,153,67,10377,66,2019-07-02 14:00:09
184,142,29,9467,26,2019-07-03 04:00:00
185,251,48,14138,32,2019-07-02 15:00:08
186,338,48,29018,22,2019-07-02 16:00:00
187,62,11,5217,9,2019-07-02 13:00:09
188,200,80,13950,46,2019-07-02 09:00:54
189,92,48,6045,35,2019-07-02 09:11:07
190,1460,306,129993,91,2019-07-02 08:30:41
191,80,35,7345,11,2019-07-02 08:19:07
192,1208,346,122235,353,2019-07-02 07:09:39
193,103,31,7208,10,2019-07-02 06:00:55
194,184,30,10814,17,2019-07-02 05:30:09
195,117,42,4347,20,2019-07-02 05:00:04
196,52,54,5157,72,2019-07-02 07:40:13
197,80,6,6764,17,2019-07-01 13:00:03
198,1213,99,112519,78,2019-07-01 16:00:05
199,62,18,4754,14,2019-07-01 15:00:17
200,75,7,3696,13,2019-07-01 14:00:14
201,67,8,4976,17,2019-07-01 09:30:55
202,682,196,56332,80,2019-07-01 08:56:53
