,dates,likes,dislikes,comments,views,key words,propr names
0,2019-07-01,240362.0,4097.0,46459.0,2823458.0,"[('алексей', 1109), ('тренды', 1098), ('видео', 1014), ('лайк', 518), ('вс', 491), ('ребята', 478)]","['сахаров', 'сергей  третьяков', 'георгий  елисеев', 'москвабад  ', 'бывшее', 'лаура  гуноева', 'наследник', 'андрей  елизаров', 'иисус  ', 'флаг']"
1,2019-07-18,247646.0,7384.0,54840.0,2223604.0,"[('тренды', 1849), ('москва', 1133), ('видео', 1119), ('алексей', 1079), ('москвичи', 757), ('комментарий', 732)]","['сахаров', 'роман  фёдоров', 'ирек  мингулов', 'денис  кашицин', 'людящий  ', 'херовое', 'москвабад  ', 'власта  ', 'бывшее', 'дальнобой']"
2,2019-08-01,258101.0,3124.0,69737.0,2952276.0,"[('тренды', 2296), ('молодцы', 1722), ('ребята', 1604), ('видео', 1400), ('комментарий', 890), ('просмотры', 854)]","['васил  васильев', 'сахаров', 'ося  ', 'эраст  петрович', 'роман  фёдоров', 'ирек  мингулов', 'денис  кашицин', 'прокопчук', 'москвабад  ', 'никодим  ']"
